招聘信息,公司名,工作地点,公司类型,薪资,福利,公司规模,企业类型,工作经验,学历,招聘人数,最低薪资,最高薪资
前端初级开发工程师,广州慧扬健康科技有限公司,广州,民营公司,0.7-1.4万/月,五险一金 补充医疗保险 年终奖金 绩效奖金 高学历团队 有机午餐晚餐 创业公司 节日福利,150-500人,计算机软件,1年经验,本科,招若干人,0.7,1.4
AI算法工程师,广州慧扬健康科技有限公司,成都,民营公司,1.5-3万/月,五险一金 补充医疗保险 餐饮补贴 定期体检,150-500人,计算机软件,5-7年经验,本科,招1人,1.5,3
前端中级开发工程师,广州慧扬健康科技有限公司,广州,民营公司,1.5-2.5万/月,五险一金 补充医疗保险 年终奖金 绩效奖金 高学历团队 有机午餐晚餐 创业公司 节日福利,150-500人,计算机软件,3-4年经验,本科,招若干人,1.5,2.5
前端高级开发工程师,广州慧扬健康科技有限公司,广州,民营公司,2.5-3万/月,五险一金 补充医疗保险 年终奖金 绩效奖金 高学历团队 有机午餐晚餐 创业公司 节日福利,150-500人,计算机软件,8-9年经验,本科,招若干人,2.5,3
web前端设计师,上海迈科金属资源有限公司,上海,民营公司,1-2万/月,做五休二 下午茶充足 领导易相处 五险一金 带薪年假 节日福利,150-500人,贸易/进出口,2年经验,本科,招1人,1,2
算法工程师（工程化）,深圳睿心智能医疗科技有限公司,深圳,民营公司,2-4万/月,五险一金 专业培训 绩效奖金 年终奖金 弹性工作 巨大发展空间 先进技术培训,150-500人,计算机软件,3-4年经验,硕士,招1人,2,4
高级软件工程师,苏州艾隆信息技术有限公司,苏州,民营公司,1.7-2.5万/月,五险一金 员工旅游 餐饮补贴 专业培训 绩效奖金 定期体检 带薪年假 周末双休,50-150人,计算机软件,5-7年经验,本科,招若干人,1.7,2.5
高级小基站软件研发工程师,深圳凡维泰科技服务有限公司,深圳,民营公司,1.8-2.5万/月,五险一金 员工旅游 餐饮补贴 专业培训 绩效奖金 年终奖金 弹性工作,50-150人,通信/电信/网络设备,5-7年经验,本科,招4人,1.8,2.5
小基站软件研发工程师(中级）,深圳凡维泰科技服务有限公司,深圳,民营公司,1-1.8万/月,五险一金 员工旅游 餐饮补贴 专业培训 绩效奖金 年终奖金 弹性工作,50-150人,通信/电信/网络设备,3-4年经验,本科,招5人,1,1.8
BDS-PC软件工程师,杜尔集团-上海申克机械有限公司,上海,外资（欧美）,1-1.6万/月,五险一金 补充医疗保险 员工旅游 交通补贴 出国机会 年终奖金 定期体检 专业培训 免费班车,500-1000人,机械/设备/重工,3-4年经验,本科,招若干人,1,1.6
FTS-PC Commissioning Engineer,杜尔集团-上海申克机械有限公司,上海,外资（欧美）,0.9-1.5万/月,五险一金 补充医疗保险 员工旅游 交通补贴 出国机会 年终奖金 定期体检 专业培训 免费班车,500-1000人,机械/设备/重工,2年经验,本科,招若干人,0.9,1.5
webGL前端工程师（webGL3D建模方向,昆明奥远科技有限公司,昆明,民营公司,0.5-1万/月,周末双休 员工旅游 全勤奖,50-150人,互联网/电子商务,1年经验,大专,招1人,0.5,1
PC 客户端开发（NWjs方向）,深圳恒拓高科信息技术有限公司广州分公司,广州,民营公司,1-1.8万/月,五险一金 年终奖金 股票期权 绩效奖金 弹性工作,50-150人,互联网/电子商务,2年经验,大专,招1人,1,1.8
前端工程师（非外包）,深圳恒拓高科信息技术有限公司广州分公司,广州,民营公司,1.1-1.7万/月,五险一金 年终奖金 股票期权 绩效奖金 弹性工作,50-150人,互联网/电子商务,3-4年经验,大专,招1人,1.1,1.7
前端工程师-PC客户端,深圳恒拓高科信息技术有限公司广州分公司,广州,民营公司,0.9-1.8万/月,五险一金 年终奖金 股票期权 绩效奖金 弹性工作,50-150人,互联网/电子商务,2年经验,本科,招1人,0.9,1.8
OA/BPM工程师,同致电子科技（昆山）有限公司,昆山,外资（非欧美）,7-9千/月,五险一金 员工旅游 定期体检 年终奖金,500-1000人,汽车,3-4年经验,大专,招1人,0.7,0.9
助理软件工程师,同致电子科技（昆山）有限公司,昆山,外资（非欧美）,6.5-8千/月,五险一金 员工旅游 定期体检 年终奖金 专业培训 提供住宿 免费工作餐,500-1000人,汽车,1年经验,大专,招3人,0.65,0.8
算法工程师（英语熟练）,启翊创智能科技（苏州）有限公司,苏州,民营公司,1-2万/月,五险一金 包吃 年终奖金 加班费,50-150人,计算机软件,3-4年经验,大专,招2人,1,2
软件视觉工程师（英语熟练）,启翊创智能科技（苏州）有限公司,苏州,民营公司,1-2万/月,五险一金 包吃 年终奖金 加班费,50-150人,计算机软件,3-4年经验,大专,招2人,1,2
高级前端开发工程师,广东省信息网络有限公司,广州,国企,1.5-2万/月,五险一金 专业培训 年终奖金 定期体检,50-150人,计算机软件,5-7年经验,大专,招1人,1.5,2
系统架构师,广东省信息网络有限公司,广州,国企,1.5-2万/月,五险一金 专业培训 年终奖金 定期体检,50-150人,计算机软件,5-7年经验,大专,招1人,1.5,2
网络研发工程师,下一代互联网国家工程中心,广州,民营公司,2-2.5万/月,五险一金 专业培训 年终奖金 节日福利 通讯补贴 周末双休 绩效奖金 带薪年假 公司团建,50-150人,互联网/电子商务,3-4年经验,本科,招1人,2,2.5
视觉工程师（常驻深圳）,启翊创智能科技（苏州）有限公司,苏州,民营公司,1.5-2.5万/月,五险一金 包吃,50-150人,计算机软件,3-4年经验,大专,招1人,1.5,2.5
高级软件工程师,启翊创智能科技（苏州）有限公司,苏州,民营公司,1-2万/月,五险一金 包吃,50-150人,计算机软件,5-7年经验,本科,招5人,1,2
高级算法工程师,启翊创智能科技（苏州）有限公司,苏州,民营公司,1-2万/月,五险一金 包吃,50-150人,计算机软件,5-7年经验,本科,招5人,1,2
机器视觉应用工程师,深圳市阳光视觉科技有限公司,深圳,民营公司,1.5-2万/月,员工旅游 股票期权 五险一金 专业培训 出国机会 定期体检 年终奖金 绩效奖金 周末双休,50-150人,仪器仪表/工业自动化,3-4年经验,本科,招2人,1.5,2
安卓开发工程师（HSBC在家办公）,中软国际科技服务有限公司,广州,合资,1.2-2万/月,五险一金 年终奖金 周末双休 弹性工作 员工旅游,10000人以上,计算机软件,3-4年经验,大专,招若干人,1.2,2
前端RN（港资可转甲方周末双休）,中软国际科技服务有限公司,广州,合资,1.5-2.2万/月,五险一金 年终奖金 周末双休 弹性工作 员工旅游,10000人以上,计算机软件,5-7年经验,大专,招若干人,1.5,2.2
区块链/算法工程师,江苏众亿国链大数据科技有限公司,苏州,民营公司,1-1.5万/月,五险一金 年终奖金 通讯补贴 餐饮补贴 交通补贴 绩效奖金 股票期权,50-150人,计算机软件,2年经验,本科,招2人,1,1.5
web前端开发高级工程师,武汉匠芯网络科技有限公司,武汉,民营公司,1-1.5万/月,五险一金 年终奖金 绩效奖金 补充医疗保险,50-150人,计算机软件,3-4年经验,大专,招2人,1,1.5
软件开发工程师（对日）,武汉匠芯网络科技有限公司,武汉,民营公司,0.6-1.2万/月,五险一金 补充医疗保险 交通补贴 餐饮补贴 通讯补贴 专业培训 年终奖金 弹性工作,50-150人,计算机软件,2年经验,大专,招5人,0.6,1.2
前端开发工程师,广东金朋科技有限公司,广州,民营公司,1.2-1.8万/月,五险一金 员工旅游 年终奖金 绩效奖金 通讯补贴 节日福利 定期体检,150-500人,互联网/电子商务,3-4年经验,本科,招1人,1.2,1.8
软件开发工程师,苏州微创阿格斯医疗科技有限公司,苏州,民营公司,1-1.5万/月,五险一金 交通补贴 餐饮补贴 年终奖金 周末双休 做五休二,少于50人,医疗设备/器械,2年经验,本科,招1人,1,1.5
数据分析,浙江喜歌实业股份有限公司,嘉兴,民营公司,5-6千/月,年终奖金 法定节假日 包吃 五险 定期体检 员工旅游 巨额开门红,5000-10000人,服装/纺织/皮革,2年经验,大专,招1人,0.5,0.6
数据分析员,江西加大集团有限公司,佛山,民营公司,0.7-1.4万/月,绩效奖金 年终奖金 专业培训 购买五险 包食宿,1000-5000人,农/林/牧/渔,2年经验,本科,招3人,0.7,1.4
Web前端开发工程师,上海聚发全信息科技有限公司,长沙,民营公司,1.2-1.6万/月,五险一金 绩效奖金 专业培训 股票期权 弹性工作,50-150人,酒店/旅游,5-7年经验,本科,招10人,1.2,1.6
Web前端开发工程师,深圳市一览网络股份有限公司,深圳,民营公司,1.2-2万/月,五险一金 员工旅游 专业培训 通讯补贴 绩效奖金,500-1000人,互联网/电子商务,3-4年经验,本科,招1人,1.2,2
Web前端开发工程师,上海聚发全信息科技有限公司,上海,民营公司,1.3-1.8万/月,绩效奖金 专业培训 弹性工作 股票期权 年终奖金 出国机会,50-150人,酒店/旅游,5-7年经验,本科,招若干人,1.3,1.8
应用软件开发工程师（JAVA）,武汉力龙信息科技股份有限公司,武汉,上市公司,0.8-1.5万/月,五险一金 定期体检 餐饮补贴 员工旅游 绩效奖金 通讯补贴 家庭慰问礼金 节日物资福利 周末双休,150-500人,计算机软件,2年经验,本科,招3人,0.8,1.5
Web前端开发工程师,上海聚发全信息科技有限公司,上海,民营公司,1.5-2万/月,五险一金 绩效奖金 股票期权 弹性工作 专业培训,50-150人,酒店/旅游,5-7年经验,本科,招若干人,1.5,2
PB开发工程师,创业慧康科技股份有限公司,上海,上市公司,1-1.8万/月,五险一金 补充医疗保险 交通补贴 餐饮补贴 通讯补贴 绩效奖金 股票期权 定期体检 专业培训 员工旅游,1000-5000人,计算机软件,3-4年经验,大专,招2人,1,1.8
PB开发工程师(新疆),创业慧康科技股份有限公司,乌鲁木齐,上市公司,0.6-1.2万/月,五险一金 补充医疗保险 交通补贴 餐饮补贴 通讯补贴 绩效奖金 股票期权 定期体检 专业培训 员工旅游,1000-5000人,计算机软件,3-4年经验,大专,招2人,0.6,1.2
人工智能训练师,武汉力龙信息科技股份有限公司,武汉,上市公司,0.6-1.2万/月,五险一金 定期体检 餐饮补贴 员工旅游 绩效奖金 通讯补贴 家庭慰问礼金 节日物资福利 周末双休,150-500人,计算机软件,1年经验,本科,招5人,0.6,1.2
人工智能研发工程师（NLP方向）,武汉力龙信息科技股份有限公司,武汉,上市公司,1.5-3万/月,五险一金 定期体检 餐饮补贴 员工旅游 绩效奖金 通讯补贴 家庭慰问礼金 节日物资福利 周末双休,150-500人,计算机软件,1年经验,硕士,招5人,1.5,3
人工智能研发工程师（图像方向）,武汉力龙信息科技股份有限公司,武汉,上市公司,1.5-3万/月,五险一金 定期体检 餐饮补贴 员工旅游 绩效奖金 通讯补贴 家庭慰问礼金 节日物资福利 周末双休,150-500人,计算机软件,1年经验,本科,招2人,1.5,3
AI算法工程师,武汉力龙信息科技股份有限公司,武汉,上市公司,2-4万/月,五险一金 定期体检 餐饮补贴 员工旅游 绩效奖金 通讯补贴 家庭慰问礼金 节日物资福利 周末双休,150-500人,计算机软件,1年经验,本科,招2人,2,4
AI算法开发工程师,佛山市南海莉华电子科技有限公司,佛山,民营公司,2-2.5万/月,出国机会 弹性工作 专业培训 绩效奖金 五险一金,50-150人,电子技术/半导体/集成电路,5-7年经验,本科,招5人,2,2.5
微信小程序开发工程师,佛山市南海莉华电子科技有限公司,佛山,民营公司,1-1.5万/月,弹性工作 专业培训 五险一金 员工旅游,50-150人,电子技术/半导体/集成电路,3-4年经验,大专,招2人,1,1.5
Web前端开发工程师,佛山市南海莉华电子科技有限公司,佛山,民营公司,6-8千/月,出国机会 弹性工作 绩效奖金 五险一金,50-150人,电子技术/半导体/集成电路,3-4年经验,大专,招2人,0.6,0.8
Android开发工程师,佛山市南海莉华电子科技有限公司,佛山,民营公司,0.8-1万/月,出国机会 弹性工作 专业培训 绩效奖金 五险一金,50-150人,电子技术/半导体/集成电路,5-7年经验,大专,招5人,0.8,1
资深机器视觉工程师,上海施努卡工业自动化有限公司,昆山,民营公司,1.5-2.5万/月,五险一金 做五休二 周末双休 年终奖金 员工旅游 团建活动 攻关奖,50-150人,仪器仪表/工业自动化,3-4年经验,本科,招3人,1.5,2.5
软件开发工程师,深圳市万佳安物联科技股份有限公司,深圳,上市公司,0.8-1.5万/月,五险一金 下午茶 餐饮补贴 绩效奖金,500-1000人,电子技术/半导体/集成电路,2年经验,本科,招2人,0.8,1.5
前端工程师,深圳市万佳安物联科技股份有限公司,深圳,上市公司,1.3-1.8万/月,绩效奖金 专业培训 五险一金 餐饮补贴 下午茶,500-1000人,电子技术/半导体/集成电路,3-4年经验,本科,招4人,1.3,1.8
高级OpenGL开发工程师,佛山市南海莉华电子科技有限公司,佛山,民营公司,1-1.5万/月,出国机会 弹性工作 专业培训 绩效奖金 五险一金,50-150人,电子技术/半导体/集成电路,5-7年经验,本科,招2人,1,1.5
P2P后端服务器开发工程师,深圳市万佳安物联科技股份有限公司,深圳,上市公司,1.5-3万/月,绩效奖金 专业培训 五险一金 餐饮补贴 下午茶,500-1000人,电子技术/半导体/集成电路,2年经验,本科,招若干人,1.5,3
安卓开发,浙江锐制软件技术有限公司,嘉兴,民营公司,0.6-1.3万/月,绩效奖金 年终奖金 专业培训 五险,50-150人,计算机软件,1年经验,本科,招1人,0.6,1.3
前端开发,浙江锐制软件技术有限公司,嘉兴,民营公司,0.6-1.2万/月,绩效奖金 年终奖金 专业培训 五险,50-150人,计算机软件,1年经验,本科,招1人,0.6,1.2
iOS开发工程师,佛山市南海莉华电子科技有限公司,佛山,民营公司,1-1.5万/月,弹性工作 专业培训 五险一金 员工旅游,50-150人,电子技术/半导体/集成电路,5-7年经验,大专,招2人,1,1.5
视觉助理工程师,安费诺商用电子产品（成都）有限公司,成都,外资（欧美）,5.5-7千/月,五险一金 员工旅游 绩效奖金 年终奖金 定期体检 专业培训,1000-5000人,电子技术/半导体/集成电路,1年经验,本科,招1人,0.55,0.7
前端开发（浦口）,江苏菲克斯能源科技有限公司,南京,民营公司,1-1.5万/月,五险一金 弹性工作,少于50人,计算机软件,2年经验,大专,招3人,1,1.5
图像处理工程师,武汉伊莱维特电力科技有限公司,武汉,民营公司,1-2万/月,五险一金 补充医疗保险 餐饮补贴 加班补贴 节日福利 带薪年假 年终奖金 周末双休,50-150人,电气/电力/水利,2年经验,本科,招2人,1,2
雷达仿真算法工程师,武汉伊莱维特电力科技有限公司,武汉,民营公司,1-2万/月,补充医疗保险 员工旅游 餐饮补贴 绩效奖金 年终奖金 定期体检 专业培训 五险一金 周末双休,50-150人,电气/电力/水利,3-4年经验,硕士,招1人,1,2
算法工程师,武汉伊莱维特电力科技有限公司,武汉,民营公司,0.8-1.5万/月,补充医疗保险 员工旅游 餐饮补贴 绩效奖金 年终奖金 定期体检 专业培训 五险一金 周末双休,50-150人,电气/电力/水利,2年经验,本科,招1人,0.8,1.5
Android开发工程师（安卓）,安徽天盛智能科技有限公司,合肥,民营公司,0.6-1万/月,五险一金 交通补贴 餐饮补贴 通讯补贴 绩效奖金 补充医疗保险 定期体检 专业培训,50-150人,计算机服务(系统、数据服务、维修),1年经验,本科,招3人,0.6,1
前端开发工程师,维恩贝特科技有限公司,深圳,民营公司,1.6-2.2万/月,五险一金 绩效奖金 节日福利 做五休二 专业培训 员工旅游,500-1000人,计算机软件,5-7年经验,大专,招若干人,1.6,2.2
前端开发工程师,维恩贝特科技有限公司,佛山,民营公司,1.2-1.8万/月,五险一金 绩效奖金 节日福利 做五休二 专业培训 员工旅游,500-1000人,计算机软件,2年经验,本科,招若干人,1.2,1.8
前端开发 (MJ000099),维恩贝特科技有限公司,深圳,民营公司,1.5-2.2万/月,五险一金 绩效奖金 节日福利 做五休二 专业培训 员工旅游,500-1000人,计算机软件,3-4年经验,大专,招3人,1.5,2.2
Android开发工程师,苏州久道信息科技有限公司,上海,民营公司,2-2.5万/月,五险一金 绩效奖金,少于50人,计算机软件,5-7年经验,本科,招1人,2,2.5
主控软件开发工程师,宁波艾欧迪互联科技有限公司,宁波,民营公司,1-2万/月,周末双休 带薪年假 五险一金 住房补贴 高温补贴 年终奖金 弹性工作,少于50人,通信/电信/网络设备,3-4年经验,本科,招3人,1,2
激光点云融合算法工程师,武汉伊莱维特电力科技有限公司,武汉,民营公司,1-2万/月,补充医疗保险 员工旅游 餐饮补贴 绩效奖金 年终奖金 定期体检 专业培训 五险一金 周末双休,50-150人,电气/电力/水利,3-4年经验,硕士,招若干人,1,2
点云算法工程师,武汉伊莱维特电力科技有限公司,武汉,民营公司,1.2-2万/月,补充医疗保险 员工旅游 餐饮补贴 绩效奖金 年终奖金 定期体检 专业培训 五险一金 周末双休,50-150人,电气/电力/水利,3-4年经验,本科,招1人,1.2,2
初级前端开发,九为（浙江）网络科技有限公司,宁波,民营公司,3-4.5千/月,五险一金 员工旅游 定期体检 专业培训 餐饮补贴 绩效奖金 年终奖金 弹性工作 出国机会 交通补贴,50-150人,互联网/电子商务,1年经验,大专,招5人,0.3,0.45
CUDA软件工程师,苏州久道信息科技有限公司,苏州,民营公司,2-2.5万/月,绩效奖金 周末双休 做五休二 全勤奖 节日福利,少于50人,计算机软件,3-4年经验,本科,招2人,2,2.5
软件开发工程师,苏州久道信息科技有限公司,苏州,民营公司,1.5-2万/月,绩效奖金 周末双休 做五休二 全勤奖 节日福利,少于50人,计算机软件,3-4年经验,本科,招2人,1.5,2
Android开发工程师,苏州久道信息科技有限公司,苏州,民营公司,1-1.5万/月,绩效奖金 五险一金,少于50人,计算机软件,2年经验,本科,招2人,1,1.5
WMS软件工程师,南通金予博信智能科技有限公司,上海,民营公司,1.5-2万/月,五险一金 定期体检 餐饮补贴 绩效奖金 员工旅游 年终奖金,50-150人,机械/设备/重工,3-4年经验,本科,招2人,1.5,2
上位机软件工程师,珠海西默电气股份有限公司,珠海,上市公司,1.5-2万/月,周末双休 节日福利 带薪年假 年终奖金 五险一金 员工旅游 弹性工作 定期体检,150-500人,电子技术/半导体/集成电路,3-4年经验,大专,招1人,1.5,2
软件工程师,深圳市嘉骏实业有限公司,北京,民营公司,2-2.5万/月,五险一金 员工旅游 出国机会 弹性工作 周末双休 绩效奖金 年终奖金,50-150人,医疗设备/器械,5-7年经验,大专,招2人,2,2.5
前端开发工程师(H5/小程序),深圳市佳创视讯技术股份有限公司,武汉,民营公司,1.5-2.5万/月,绩效奖金 定期体检 五险一金 补充医疗保险 带薪年假 工作餐,150-500人,计算机服务(系统、数据服务、维修),3-4年经验,本科,招2人,1.5,2.5
视觉工程师,广州荣锋电子科技有限公司,广州,民营公司,1.5-2万/月,股票期权 绩效奖金,150-500人,互联网/电子商务,2年经验,本科,招2人,1.5,2
Android开发工程师,深圳市佳创视讯技术股份有限公司,武汉,民营公司,1-2万/月,绩效奖金 定期体检 五险一金 补充医疗保险 带薪年假 工作餐,150-500人,计算机服务(系统、数据服务、维修),3-4年经验,本科,招2人,1,2
Android工程师,深圳市佳创视讯技术股份有限公司,武汉,民营公司,1-2万/月,绩效奖金 定期体检 五险一金 补充医疗保险 带薪年假 工作餐,150-500人,计算机服务(系统、数据服务、维修),3-4年经验,本科,招2人,1,2
APP开发工程师,深圳哈希街区科技有限公司,常州,民营公司,1.5-2万/月,五险一金 年终奖金 专业培训 节日福利 员工旅游 大小周,少于50人,计算机服务(系统、数据服务、维修),3-4年经验,本科,招2人,1.5,2
软件研发工程师,上海昊沧系统控制技术有限责任公司,武汉,民营公司,1-1.5万/月,做五休二 周末双休 带薪年假 五险一金 节日福利 餐饮补贴,150-500人,计算机软件,2年经验,本科,招1人,1,1.5
WebGIS开发工程师,上海昊沧系统控制技术有限责任公司,武汉,民营公司,1.1-2万/月,做五休二 周末双休 带薪年假 五险一金 节日福利 餐饮补贴,150-500人,计算机软件,3-4年经验,大专,招1人,1.1,2
webGL前端工程师,上海昊沧系统控制技术有限责任公司,武汉,民营公司,1.1-2万/月,做五休二 周末双休 带薪年假 五险一金 节日福利 餐饮补贴,150-500人,计算机软件,3-4年经验,大专,招1人,1.1,2
web前端高级开发工程师,上海昊沧系统控制技术有限责任公司,武汉,民营公司,1-1.6万/月,五险一金 专业培训 餐饮补贴 周末双休 节日福利 带薪年假 定期体检,150-500人,计算机软件,5-7年经验,大专,招1人,1,1.6
GIS开发工程师,上海昊沧系统控制技术有限责任公司,武汉,民营公司,0.8-1.6万/月,做五休二 周末双休 带薪年假 五险一金 节日福利 餐饮补贴,150-500人,计算机软件,3-4年经验,本科,招1人,0.8,1.6
图形算法工程师,杭州一牙数字口腔有限公司,杭州,民营公司,2.2-3.5万/月,五险一金 餐饮补贴 年终奖金 定期体检 节日福利 高温补贴 加班补贴 带薪年假 质量奖金 司龄奖,150-500人,计算机软件,3-4年经验,本科,招1人,2.2,3.5
Web前端开发工程师,苏州宏瑞达新能源装备有限公司,苏州,民营公司,1-1.5万/月,节日福利 包吃 五险一金 年终奖金,150-500人,仪器仪表/工业自动化,3-4年经验,本科,招2人,1,1.5
视觉主管工程师,苏州宏瑞达新能源装备有限公司,常熟,民营公司,1-2万/月,专业培训 做五休二 周末双休 带薪年假 包吃 五险一金 节日福利,150-500人,仪器仪表/工业自动化,3-4年经验,本科,招2人,1,2
MES工程师,苏州宏瑞达新能源装备有限公司,苏州,民营公司,0.8-1.5万/月,带薪年假 五险一金 节日福利 年终奖金,150-500人,仪器仪表/工业自动化,2年经验,大专,招3人,0.8,1.5
图像算法工程师,苏州宏瑞达新能源装备有限公司,苏州,民营公司,1-1.6万/月,专业培训,150-500人,仪器仪表/工业自动化,1年经验,本科,招1人,1,1.6
机器视觉工程师,苏州宏瑞达新能源装备有限公司,苏州,民营公司,1-2万/月,节日福利 包吃 五险一金 年终奖金,150-500人,仪器仪表/工业自动化,2年经验,本科,招若干人,1,2
助理视觉工程师,苏州宏瑞达新能源装备有限公司,苏州,民营公司,0.6-1万/月,带薪年假 五险一金 节日福利 年终奖金,150-500人,仪器仪表/工业自动化,1年经验,大专,招3人,0.6,1
图像处理工程师,凯多智能科技（上海）有限公司,苏州,合资,1-1.5万/月,员工旅游 绩效奖金 年终奖金 做五休二 节日福利,50-150人,仪器仪表/工业自动化,2年经验,大专,招5人,1,1.5
图像算法工程师,凯多智能科技（上海）有限公司,苏州,合资,1-1.5万/月,员工旅游 绩效奖金 年终奖金 做五休二 节日福利,50-150人,仪器仪表/工业自动化,2年经验,大专,招5人,1,1.5
算法工程师,深圳市捷顺科技实业股份有限公司,深圳,上市公司,2-3万/月,五险一金 餐饮补贴 通讯补贴 年终奖金 绩效奖金 股票期权 周末双休 专业培训,1000-5000人,计算机软件,3-4年经验,硕士,招2人,2,3
高级Linux驱动工程师,深圳市捷顺科技实业股份有限公司,深圳,上市公司,2-3万/月,五险一金 餐饮补贴 绩效奖金 年终奖金 股票期权,1000-5000人,计算机软件,5-7年经验,本科,招1人,2,3
机器视觉调试工程师,东莞市埃法智能科技有限公司,东莞,民营公司,0.5-1万/月,餐饮补贴 五险一金 专业培训 包吃包住 年终奖金 项目奖金 试用期全薪,50-150人,计算机软件,1年经验,大专,招5人,0.5,1
深度学习算法工程师,东莞市埃法智能科技有限公司,东莞,民营公司,0.7-1.5万/月,餐饮补贴 五险一金 专业培训 通讯补贴 包吃包住 季度奖金 年终奖金 项目奖金,50-150人,计算机软件,3-4年经验,本科,招3人,0.7,1.5
深度学习算法高级工程师,东莞市埃法智能科技有限公司,东莞,民营公司,2-5万/月,餐饮补贴 五险一金 专业培训 通讯补贴 包吃包住 季度奖金 年终奖金 项目奖金,50-150人,计算机软件,3-4年经验,硕士,招2人,2,5
应用工程师,东莞市埃法智能科技有限公司,东莞,民营公司,4.5-9千/月,餐饮补贴 绩效奖金,50-150人,计算机软件,1年经验,大专,招5人,0.45,0.9
3D算法工程师,东莞市埃法智能科技有限公司,东莞,民营公司,1-2万/月,餐饮补贴 绩效奖金,50-150人,计算机软件,2年经验,大专,招3人,1,2
视觉软件工程师,东莞市埃法智能科技有限公司,东莞,民营公司,0.8-1.6万/月,餐饮补贴 绩效奖金 年终奖金,50-150人,计算机软件,2年经验,本科,招3人,0.8,1.6
软件主管,武汉逸飞激光股份有限公司,武汉,民营公司,1.5-2.5万/月,五险一金 带薪年假 全勤奖 餐饮补贴 加班补贴 通讯补贴 绩效奖金 包住宿 周末双休 年终奖金,150-500人,仪器仪表/工业自动化,5-7年经验,本科,招1人,1.5,2.5
运控软件工程师,武汉逸飞激光股份有限公司,武汉,民营公司,1-1.8万/月,五险一金 带薪年假 全勤奖 加班补贴 通讯补贴 绩效奖金 包住宿 周末双休 年终奖金,150-500人,仪器仪表/工业自动化,5-7年经验,本科,招2人,1,1.8
MES软件工程师,武汉逸飞激光股份有限公司,武汉,民营公司,1-1.8万/月,五险一金 带薪年假 全勤奖 加班补贴 通讯补贴 绩效奖金 包住宿 周末双休 年终奖金,150-500人,仪器仪表/工业自动化,5-7年经验,本科,招2人,1,1.8
自然语言处理工程师,苏州贝康医疗器械有限公司,苏州,上市公司,1.5-2万/月,五险一金 绩效奖金 股票期权 专业培训 员工旅游,500-1000人,制药/生物工程,3-4年经验,本科,招若干人,1.5,2
图像算法工程师,苏州贝康医疗器械有限公司,苏州,上市公司,1.5-2万/月,五险一金 绩效奖金 股票期权 专业培训 员工旅游,500-1000人,制药/生物工程,2年经验,本科,招若干人,1.5,2
Android安卓开发-车联网,纬创软件（武汉）有限公司,武汉,外资（非欧美）,1.3-1.8万/月,六险一金 周末双休 专业培训 定期体检 绩效奖金 年终奖金 节日福利 员工旅游,5000-10000人,计算机软件,3-4年经验,大专,招3人,1.3,1.8
Android开发工程师(车联网/待遇优）,纬创软件（武汉）有限公司,武汉,外资（非欧美）,1.4-2万/月,五险一金 员工旅游 年终奖金 绩效奖金 弹性工作 定期体检 年底双薪 专业培训,5000-10000人,计算机软件,2年经验,大专,招2人,1.4,2
Android开发工程师,纬创软件（武汉）有限公司,上海,外资（非欧美）,1.5-2.2万/月,五险一金 年终奖金 定期体检 专业培训 补充医疗保险,5000-10000人,计算机软件,3-4年经验,大专,招2人,1.5,2.2
前端开发-银行金融,纬创软件（武汉）有限公司,武汉,外资（非欧美）,1-1.4万/月,六险一金 周末双休 专业培训 定期体检 绩效奖金 年终奖金 节日福利,5000-10000人,计算机软件,2年经验,本科,招3人,1,1.4
Python数据分析师,纬创软件（武汉）有限公司,武汉,外资（非欧美）,0.9-1.1万/月,五险一金 餐饮补贴 年终奖金 定期体检 员工旅游,5000-10000人,计算机软件,2年经验,大专,招2人,0.9,1.1
前端开发工程师,纬创软件（武汉）有限公司,武汉,外资（非欧美）,1.1-1.5万/月,五险一金 年终奖金 定期体检 专业培训 补充医疗保险,5000-10000人,计算机软件,2年经验,本科,招1人,1.1,1.5
Web前端开发工程师,纬创软件（武汉）有限公司,武汉,外资（非欧美）,1.3-1.7万/月,五险一金 年终奖金 定期体检 专业培训 补充医疗保险,5000-10000人,计算机软件,3-4年经验,大专,招若干人,1.3,1.7
Android开发工程师,纬创软件（武汉）有限公司,武汉,外资（非欧美）,1-1.5万/月,五险一金 绩效奖金 定期体检 员工旅游 年终奖金,5000-10000人,计算机软件,3-4年经验,大专,招2人,1,1.5
ETL 开发工程师,蓝科财务咨询（上海）有限公司,上海,外资（欧美）,1-1.5万/月,五险一金 绩效奖金 专业培训 定期体检 通讯补贴 带薪年假 员工旅游 交通补贴 年终奖金 餐饮补贴,50-150人,计算机软件,1年经验,本科,招5人,1,1.5
中级前端开发工程师（外汇岗位）,上海向普科技有限公司,上海,民营公司,1.5-2.2万/月,五险一金 定期体检 绩效奖金 员工旅游 带薪年假 积分落户 试用期发全薪,150-500人,计算机服务(系统、数据服务、维修),3-4年经验,本科,招2人,1.5,2.2
高级前端开发工程师（外汇岗位）,上海向普科技有限公司,上海,民营公司,2.2-3万/月,五险一金 定期体检 绩效奖金 员工旅游 带薪年假 积分落户 试用期发全薪,150-500人,计算机服务(系统、数据服务、维修),5-7年经验,本科,招2人,2.2,3
