招聘信息,公司名,工作地点,公司类型,薪资,福利,公司规模,企业类型,工作经验,学历,招聘人数,最低薪资,最高薪资
会计实习生/做五休二/补贴,武汉昇海商务服务有限公司,武汉,民营公司,2.1-3千/月,周末双休 餐饮补贴 交通补贴 高温补贴 节日福利 绩效奖金 全勤奖 带薪年假 住房补贴 五险一金,50-150人,专业服务(咨询、人力资源、财会),校招,大专,招10人,0.21,0.3
建行信用卡账单分期客服（白班/五险一金）,深圳市拓才信息产业有限公司,深圳,事业单位,0.8-1万/月,五险一金 包住宿 带薪年假 节日福利 专业培训 住房补贴 高温补贴 绩效奖金 餐饮补贴 全勤奖,500-1000人,通信/电信运营、增值服务,无需经验,中技/中专,招若干人,0.8,1
机构业务经理,国金期货有限责任公司,武汉,上市公司,0.8-1万/月,五险一金 带薪年假 绩效奖金 年终奖金 专业培训 餐饮补贴 定期体检 节日福利,150-500人,金融/投资/证券,无需经验,本科,招3人,0.8,1
人保车险电销6000+双休,广州市汇捷汽车服务咨询有限责任公司,广州,民营公司,0.6-1.3万/月,专业培训 绩效奖金 周末双休 不加班 室内办公 甲级写字楼,50-150人,汽车,校招,中技/中专,招若干人,0.6,1.3
会计（应届生）,四川清香园调味品股份有限公司,绵阳,民营公司,4-6千/月,五险一金 专业培训 绩效奖金,150-500人,快速消费品(食品、饮料、化妆品),校招,大专,招1人,0.4,0.6
会计助理,华侨城物业（集团）有限公司深圳环境科技分公司,深圳,国企,5-6千/月,五险一金 周末双休 带薪年假 节日福利 餐饮补贴 高温补贴 年终奖金 专业培训,50-150人,物业管理/商业中心,无需经验,大专,招1人,0.5,0.6
会计助理,苏州市众牧电子科技有限公司,苏州,民营公司,4-6千/月,五险一金 员工旅游 专业培训 绩效奖金 年终奖金 弹性工作 出国机会,50-150人,快速消费品(食品、饮料、化妆品),无需经验,大专,招2人,0.4,0.6
财务实习生,广州申威新材料科技有限公司,广州,民营公司,2-3千/月,带薪年假 五险一金 周末双休 节日福利 专业培训 住房补贴 餐饮补贴 绩效奖金 年终双薪,少于50人,石油/化工/矿产/地质,校招,大专,招1人,0.2,0.3
汉阳电话销售轻松过万,湖北易鑫壹亿信息服务有限公司,武汉,民营公司,1.5-3万/月,员工旅游 专业培训 绩效奖金 年终奖金 弹性工作,少于50人,金融/投资/证券,无需经验,高中,招10人,1.5,3
出纳,武汉佳旺餐饮品牌管理有限公司,武汉,民营公司,4.5-6千/月,节日福利 五险 生日福利 年假 全勤奖 工龄补贴 年度调薪 岗位津贴 培训津贴,150-500人,餐饮业,校招,大专,招1人,0.45,0.6
资金会计（临时工）,常州纵慧芯光半导体科技有限公司,常州,创业公司,5-6千/月,五险一金 餐饮补贴 年终奖金 做五休二 定期体检 员工旅游 绩效奖金,50-150人,电子技术/半导体/集成电路,无需经验,本科,招1人,0.5,0.6
会计,亚忆电子(深圳)有限公司,深圳,外资（非欧美）,6-8千/月,五险一金 周末双休 包住宿 带薪年假 节日福利 年终奖金,150-500人,电子技术/半导体/集成电路,无需经验,本科,招1人,0.6,0.8
车险续保专员,中国人民财产保险股份有限公司青岛市分公司营业三部,青岛,国企,0.6-1.2万/月,五险一金 餐饮补贴 绩效奖金 年终奖金 带薪休假 中长期激励奖 季度福利 节日福利 生日福利 高温取暖补贴,150-500人,保险,无需经验,中技/中专,招10人,0.6,1.2
商保支持,北京万华恒信信息技术有限公司,杭州,民营公司,0.8-1万/月,周末双休 五险一金 补充医疗保险 交通通讯补贴 年底双薪 带薪年假 带薪病假 节日福利 定期体检 专业培训,150-500人,计算机软件,校招,大专,招1人,0.8,1
财务实习生,汇记信（广州）管理咨询有限公司,广州,民营公司,3-4.5千/月,五险一金 通讯补贴 绩效奖金 年终奖金 补充医疗保险 定期体检 专业培训 做五休二,少于50人,专业服务(咨询、人力资源、财会),校招,本科,招1人,0.3,0.45
